India,England,1974-07-15,ODI,The Oval,lost,6 wickets,won,1st,171,10,47.3,3.6
England,India,1974-07-15,ODI,The Oval,won,6 wickets,lost,2nd,172,4,48.5,3.52
England,Pakistan,1974-08-31,ODI,Nottingham,lost,7 wickets,won,1st,244,4,50,4.88
Pakistan,England,1974-08-31,ODI,Nottingham,won,7 wickets,lost,2nd,246,3,42.5,5.74
England,Pakistan,1974-09-03,ODI,Birmingham,lost,8 wickets,lost,1st,81,9,35,2.31
Pakistan,England,1974-09-03,ODI,Birmingham,won,8 wickets,won,2nd,84,2,18,4.66
Australia,England,1975-01-01,ODI,Melbourne,lost,3 wickets,lost,1st,190,10,34.5,4.11
England,Australia,1975-01-01,ODI,Melbourne,won,3 wickets,won,2nd,191,7,37.1,3.85
New Zealand,East Africa,1975-06-07,ODI,Birmingham,won,181 runs,won,1st,309,5,60,5.15
East Africa,New Zealand,1975-06-07,ODI,Birmingham,lost,181 runs,lost,2nd,128,8,60,2.13
Australia,Pakistan,1975-06-07,ODI,Leeds,won,73 runs,won,1st,278,7,60,4.63
Pakistan,Australia,1975-06-07,ODI,Leeds,lost,73 runs,lost,2nd,205,10,53,3.86
Sri Lanka,West Indies,1975-06-07,ODI,Manchester,lost,9 wickets,lost,1st,86,10,37.2,2.3
West Indies,Sri Lanka,1975-06-07,ODI,Manchester,won,9 wickets,won,2nd,87,1,20.4,4.2
England,New Zealand,1975-06-11,ODI,Nottingham,won,80 runs,lost,1st,266,6,60,4.43
New Zealand,England,1975-06-11,ODI,Nottingham,lost,80 runs,won,2nd,186,10,60,3.1
East Africa,India,1975-06-11,ODI,Leeds,lost,10 wickets,won,1st,120,10,55.3,2.16
India,East Africa,1975-06-11,ODI,Leeds,won,10 wickets,lost,2nd,123,0,29.5,4.12
Australia,Sri Lanka,1975-06-11,ODI,The Oval,won,52 runs,lost,1st,328,5,60,5.46
Sri Lanka,Australia,1975-06-11,ODI,The Oval,lost,52 runs,won,2nd,276,4,60,4.6
Pakistan,West Indies,1975-06-11,ODI,Birmingham,lost,1 wickets,won,1st,266,7,60,4.43
West Indies,Pakistan,1975-06-11,ODI,Birmingham,won,1 wickets,lost,2nd,267,9,59.4,4.47
England,East Africa,1975-06-14,ODI,Birmingham,won,196 runs,lost,1st,290,5,60,4.83
East Africa,England,1975-06-14,ODI,Birmingham,lost,196 runs,won,2nd,94,10,52.3,1.79
India,New Zealand,1975-06-14,ODI,Manchester,lost,4 wickets,won,1st,230,10,60,3.83
New Zealand,India,1975-06-14,ODI,Manchester,won,4 wickets,lost,2nd,233,6,58.5,3.96
Australia,West Indies,1975-06-14,ODI,The Oval,lost,7 wickets,lost,1st,192,10,53.4,3.57
West Indies,Australia,1975-06-14,ODI,The Oval,won,7 wickets,won,2nd,195,3,46,4.23
Pakistan,Sri Lanka,1975-06-14,ODI,Nottingham,won,192 runs,lost,1st,330,6,60,5.5
Sri Lanka,Pakistan,1975-06-14,ODI,Nottingham,lost,192 runs,won,2nd,138,10,50.1,2.75
England,Australia,1975-06-18,ODI,Leeds,lost,4 wickets,lost,1st,93,10,36.2,2.55
Australia,England,1975-06-18,ODI,Leeds,won,4 wickets,won,2nd,94,6,28.4,3.27
New Zealand,West Indies,1975-06-18,ODI,The Oval,lost,5 wickets,lost,1st,158,10,52.2,3.01
West Indies,New Zealand,1975-06-18,ODI,The Oval,won,5 wickets,won,2nd,159,5,40.1,3.95
West Indies,Australia,1975-12-20,ODI,Adelaide,lost,5 wickets,lost,1st,224,10,37.6,4.45
Australia,West Indies,1975-12-20,ODI,Adelaide,won,5 wickets,won,2nd,225,5,31.5,5.33
India,New Zealand,1976-02-21,ODI,Christchurch,lost,9 wickets,won,1st,154,10,35,3.3
New Zealand,India,1976-02-21,ODI,Christchurch,won,9 wickets,lost,2nd,155,1,30.3,3.82
New Zealand,India,1976-02-22,ODI,Auckland,won,80 runs,won,1st,236,8,35,5.05
India,New Zealand,1976-02-22,ODI,Auckland,lost,80 runs,lost,2nd,156,10,31.6,3.68
England,West Indies,1976-08-26,ODI,Scarborough,lost,6 wickets,lost,1st,202,8,55,3.67
West Indies,England,1976-08-26,ODI,Scarborough,won,6 wickets,won,2nd,207,4,41,5.04
West Indies,England,1976-08-30,ODI,Birmingham,won,50 runs,lost,1st,223,9,32,6.96
England,West Indies,1976-08-30,ODI,Birmingham,lost,50 runs,won,2nd,173,10,31.4,5.46
New Zealand,Pakistan,1976-10-16,ODI,Sialkot,won,1 runs,won,1st,198,8,35,4.24
Pakistan,New Zealand,1976-10-16,ODI,Sialkot,lost,1 runs,lost,2nd,197,9,35,4.22
